State,GEOID,Type
Alabama,01083020600,Low-Income Community
Alabama,01083020700,Low-Income Community
Alabama,01085780800,Low-Income Community
Alabama,01087231500,Low-Income Community
Alabama,01087231603,Low-Income Community
Alabama,01087232200,Low-Income Community
Alabama,01089000201,Low-Income Community
Alabama,01089000202,Low-Income Community
Alabama,01089001301,Low-Income Community
Alabama,01089001402,Low-Income Community
Alabama,01089001500,Low-Income Community
Alabama,01089002100,Low-Income Community
Alabama,01089002501,Low-Income Community
Alabama,01089003000,Low-Income Community
Alabama,01089003100,Low-Income Community
Alabama,01089010622,Low-Income Community
Alabama,01091972900,Low-Income Community
Alabama,01093964400,Low-Income Community
Alabama,01093964500,Non-LIC Contiguous
Alabama,01095030100,Low-Income Community
Alabama,01097000200,Low-Income Community
Alabama,01097000401,Low-Income Community
Alabama,01097000600,Low-Income Community
Alabama,01097001002,Low-Income Community
Alabama,01097001200,Low-Income Community
Alabama,01097001302,Low-Income Community
Alabama,01097001400,Low-Income Community
Alabama,01097001501,Low-Income Community
Alabama,01097001502,Low-Income Community
Alabama,01097002600,Low-Income Community
Alabama,01097002800,Low-Income Community
Alabama,01097003402,Low-Income Community
Alabama,01097006403,Low-Income Community
Alabama,01097007400,Low-Income Community
Alabama,01099076000,Low-Income Community
Alabama,01101000100,Low-Income Community
Alabama,01101000200,Low-Income Community
Alabama,01101000300,Low-Income Community
Alabama,01101000500,Low-Income Community
Alabama,01101000600,Low-Income Community
Alabama,01101001000,Low-Income Community
Alabama,01101001100,Low-Income Community
Alabama,01101002100,Low-Income Community
Alabama,01101002900,Low-Income Community
Alabama,01101005603,Low-Income Community
Alabama,01101005902,Low-Income Community
Alabama,01101006000,Low-Income Community
Alabama,01103000100,Low-Income Community
Alabama,01105687000,Low-Income Community
Alabama,01107050100,Low-Income Community
Alabama,01109189100,Low-Income Community
Alabama,01111000500,Low-Income Community
Alabama,01113030200,Low-Income Community
Alabama,01115040203,Low-Income Community
Alabama,01117030703,Low-Income Community
Alabama,01119011300,Low-Income Community
Alabama,01121010900,Low-Income Community
Alabama,01123962300,Low-Income Community
Alabama,01125010403,Low-Income Community
Alabama,01125010404,Low-Income Community
Alabama,01125011600,Low-Income Community
Alabama,01125011701,Low-Income Community
Alabama,01125011800,Low-Income Community
Alabama,01125012100,Low-Income Community
Alabama,01125012303,Non-LIC Contiguous
Alabama,01125012405,Low-Income Community
Alabama,01125012600,Low-Income Community
Alabama,01125012800,Low-Income Community
Alabama,01127020400,Low-Income Community
Alabama,01129044200,Low-Income Community
Alabama,01131035100,Low-Income Community
Alabama,01133965700,Low-Income Community
Alaska,02013000100,Low-Income Community
Alaska,02016000100,Low-Income Community
Alaska,02020000300,Low-Income Community
Alaska,02020000600,Low-Income Community
Alaska,02020000702,Low-Income Community
Alaska,02020000703,Low-Income Community
Alaska,02020001000,Low-Income Community
Alaska,02020001900,Low-Income Community
Alaska,02020002000,Low-Income Community
Alaska,02050000300,Low-Income Community
Alaska,02090000100,Low-Income Community
Alaska,02090000200,Low-Income Community
Alaska,02090001100,Low-Income Community
Alaska,02100000100,Low-Income Community
Alaska,02105000300,Low-Income Community
Alaska,02122000100,Low-Income Community
Alaska,02170000401,Low-Income Community
Alaska,02170000701,Low-Income Community
Alaska,02180000100,Low-Income Community
Alaska,02185000200,Low-Income Community
Alaska,02188000100,Low-Income Community
Alaska,02198000100,Low-Income Community
Alaska,02198940100,Low-Income Community
Alaska,02275000300,Low-Income Community
Alaska,02290000200,Low-Income Community
American Samoa,60010950100,Low-Income Community
American Samoa,60010950200,Low-Income Community
American Samoa,60010950300,Low-Income Community
American Samoa,60010950500,Low-Income Community
American Samoa,60010950600,Low-Income Community
American Samoa,60010950700,Low-Income Community
American Samoa,60010950900,Low-Income Community
American Samoa,60020951800,Low-Income Community
American Samoa,60050951000,Low-Income Community
American Samoa,60050951100,Low-Income Community
American Samoa,60050951201,Low-Income Community
American Samoa,60050951202,Low-Income Community
American Samoa,60050951203,Low-Income Community
American Samoa,60050951300,Low-Income Community
American Samoa,60050951500,Low-Income Community
American Samoa,60050951600,Low-Income Community
Arizona,04001945100,Low-Income Community
Arizona,04001970200,Low-Income Community
Arizona,04001970502,Non-LIC Contiguous
Arizona,04003000301,Low-Income Community
Arizona,04003000600,Low-Income Community
Arizona,04003001100,Low-Income Community
Arizona,04003001702,Low-Income Community
Arizona,04005000900,Low-Income Community
Arizona,04005002200,Non-LIC Contiguous
Arizona,04005002300,Low-Income Community
Arizona,04005942202,Low-Income Community
Arizona,04005945000,Low-Income Community
Arizona,04005945100,Low-Income Community
Arizona,04005945200,Low-Income Community
Arizona,04007000900,Low-Income Community
Arizona,04007001100,Low-Income Community
Arizona,04007940400,Low-Income Community
Arizona,04009961201,Low-Income Community
Arizona,04011960100,Non-LIC Contiguous
Arizona,04011960300,Low-Income Community
Arizona,04012020100,Low-Income Community
Arizona,04012940300,Low-Income Community
Arizona,04013040502,Low-Income Community
Arizona,04013050604,Low-Income Community
Arizona,04013050607,Low-Income Community
Arizona,04013050609,Low-Income Community
Arizona,04013060801,Low-Income Community
Arizona,04013060902,Low-Income Community
Arizona,04013061024,Non-LIC Contiguous
Arizona,04013061200,Low-Income Community
Arizona,04013061300,Low-Income Community
Arizona,04013071910,Low-Income Community
Arizona,04013071913,Low-Income Community
Arizona,04013082024,Low-Income Community
Arizona,04013082208,Low-Income Community
Arizona,04013092401,Low-Income Community
Arizona,04013092500,Low-Income Community
Arizona,04013092600,Low-Income Community
Arizona,04013092900,Low-Income Community
Arizona,04013093001,Low-Income Community
Arizona,04013093104,Low-Income Community
Arizona,04013103210,Low-Income Community
Arizona,04013104205,Low-Income Community
Arizona,04013104401,Low-Income Community
Arizona,04013104402,Low-Income Community
Arizona,04013105501,Low-Income Community
Arizona,04013105502,Low-Income Community
Arizona,04013105503,Low-Income Community
Arizona,04013106003,Low-Income Community
Arizona,04013106802,Low-Income Community
Arizona,04013107201,Low-Income Community
Arizona,04013107300,Low-Income Community
Arizona,04013107400,Low-Income Community
Arizona,04013108902,Low-Income Community
Arizona,04013109002,Low-Income Community
Arizona,04013109003,Low-Income Community
Arizona,04013109200,Low-Income Community
Arizona,04013109300,Low-Income Community
Arizona,04013110100,Low-Income Community
Arizona,04013111700,Low-Income Community
Arizona,04013112100,Low-Income Community
Arizona,04013112509,Low-Income Community
Arizona,04013112512,Low-Income Community
Arizona,04013112513,Low-Income Community
Arizona,04013113100,Low-Income Community
Arizona,04013113203,Low-Income Community
Arizona,04013113300,Low-Income Community
Arizona,04013113801,Low-Income Community
Arizona,04013113900,Low-Income Community
Arizona,04013114000,Low-Income Community
Arizona,04013114100,Low-Income Community
Arizona,04013114200,Low-Income Community
Arizona,04013114800,Low-Income Community
Arizona,04013114900,Low-Income Community
Arizona,04013115200,Low-Income Community
Arizona,04013115300,Low-Income Community
Arizona,04013115400,Low-Income Community
Arizona,04013115801,Low-Income Community
Arizona,04013116500,Low-Income Community
Arizona,04013116900,Low-Income Community
Arizona,04013117200,Low-Income Community
Arizona,04013117300,Low-Income Community
Arizona,04013217201,Low-Income Community
Arizona,04013218000,Low-Income Community
Arizona,04013318400,Low-Income Community
Arizona,04013318800,Low-Income Community
Arizona,04013319104,Low-Income Community
Arizona,04013319202,Low-Income Community
Arizona,04013319705,Low-Income Community
Arizona,04013420206,Low-Income Community
Arizona,04013421302,Low-Income Community
Arizona,04013421303,Low-Income Community
Arizona,04013421304,Low-Income Community
Arizona,04013421400,Low-Income Community
Arizona,04013421501,Low-Income Community
Arizona,04013421502,Low-Income Community
Arizona,04013422203,Low-Income Community
Arizona,04013422401,Low-Income Community
Arizona,04013422641,Non-LIC Contiguous
Arizona,04013522800,Low-Income Community
Arizona,04013523102,Low-Income Community
Arizona,04013523104,Low-Income Community
Arizona,04013614700,Low-Income Community
Arizona,04013723305,Low-Income Community
Arizona,04013817600,Low-Income Community
Arizona,04013941100,Low-Income Community
Arizona,04013941300,Low-Income Community
Arizona,04015940400,Low-Income Community
Arizona,04015951602,Low-Income Community
Arizona,04015951900,Low-Income Community
Arizona,04015952400,Low-Income Community
Arizona,04015953900,Non-LIC Contiguous
Arizona,04015954800,Low-Income Community
Arizona,04015955000,Low-Income Community
Arizona,04017960500,Low-Income Community
Arizona,04017963300,Low-Income Community
Arizona,04017965300,Low-Income Community
Arizona,04019000100,Low-Income Community
Arizona,04019000200,Low-Income Community
Arizona,04019000300,Low-Income Community
Arizona,04019000400,Low-Income Community
Arizona,04019000800,Low-Income Community
Arizona,04019001200,Low-Income Community
Arizona,04019001302,Low-Income Community
Arizona,04019001303,Low-Income Community
Arizona,04019001801,Low-Income Community
Arizona,04019002201,Low-Income Community
Arizona,04019002202,Low-Income Community
Arizona,04019002300,Low-Income Community
Arizona,04019002501,Low-Income Community
Arizona,04019002901,Low-Income Community
Arizona,04019003501,Low-Income Community
Arizona,04019003802,Low-Income Community
Arizona,04019004011,Low-Income Community
Arizona,04019004067,Low-Income Community
Arizona,04019004112,Low-Income Community
Arizona,04019004115,Low-Income Community
Arizona,04019004116,Low-Income Community
Arizona,04019004117,Low-Income Community
Arizona,04019004122,Low-Income Community
Arizona,04019004504,Low-Income Community
Arizona,04019004613,Low-Income Community
Arizona,04019410502,Non-LIC Contiguous
Arizona,04019940900,Low-Income Community
Arizona,04019941000,Low-Income Community
Arizona,04021000310,Low-Income Community
Arizona,04021000400,Low-Income Community
Arizona,04021000700,Low-Income Community
Arizona,04021000901,Low-Income Community
Arizona,04021001000,Low-Income Community
Arizona,04021001500,Low-Income Community
Arizona,04021001900,Low-Income Community
Arizona,04021002103,Low-Income Community
Arizona,04021002300,Non-LIC Contiguous
Arizona,04023966302,Low-Income Community
Arizona,04023966402,Low-Income Community
Arizona,04025000606,Low-Income Community
Arizona,04025000900,Low-Income Community
Arizona,04025001601,Low-Income Community
Arizona,04025002100,Low-Income Community
Arizona,04027000100,Low-Income Community
Arizona,04027000700,Low-Income Community
Arizona,04027010913,Low-Income Community
Arizona,04027011202,Low-Income Community
Arizona,04027011403,Low-Income Community
Arizona,04027011501,Low-Income Community
Arizona,04027011600,Low-Income Community
Arizona,04027012100,Low-Income Community
Arkansas,05001480400,Low-Income Community
Arkansas,05003960600,Low-Income Community
Arkansas,05007020301,Low-Income Community
Arkansas,05007021101,Low-Income Community
Arkansas,05009790501,Low-Income Community
Arkansas,05011950300,Low-Income Community
Arkansas,05015950300,Low-Income Community
Arkansas,05017080300,Low-Income Community
Arkansas,05019953900,Low-Income Community
Arkansas,05023480300,Low-Income Community
Arkansas,05027950200,Low-Income Community
Arkansas,05029950300,Low-Income Community
Arkansas,05031000101,Low-Income Community
Arkansas,05031000502,Low-Income Community
Arkansas,05031000602,Low-Income Community
Arkansas,05033020501,Low-Income Community
Arkansas,05035030600,Low-Income Community
Arkansas,05035030703,Low-Income Community
Arkansas,05039970300,Low-Income Community
Arkansas,05041950100,Low-Income Community
Arkansas,05041950200,Low-Income Community
Arkansas,05043490300,Low-Income Community
Arkansas,05043490400,Low-Income Community
Arkansas,05045030403,Low-Income Community
Arkansas,05045030702,Low-Income Community
Arkansas,05045030900,Low-Income Community
Arkansas,05047950200,Low-Income Community
Arkansas,05051010700,Low-Income Community
Arkansas,05051010800,Low-Income Community
Arkansas,05051011500,Low-Income Community
Arkansas,05053470300,Low-Income Community
Arkansas,05055480500,Low-Income Community
Arkansas,05055480700,Low-Income Community
Arkansas,05057480300,Low-Income Community
Arkansas,05059020200,Low-Income Community
Arkansas,05061950300,Low-Income Community
Arkansas,05063490200,Low-Income Community
Arkansas,05063490600,Low-Income Community
Arkansas,05067480400,Low-Income Community
Arkansas,05069000502,Low-Income Community
Arkansas,05069001000,Low-Income Community
Arkansas,05069002400,Non-LIC Contiguous
Arkansas,05069002500,Low-Income Community
Arkansas,05071952000,Low-Income Community
Arkansas,05073470100,Low-Income Community
Arkansas,05075470100,Low-Income Community
Arkansas,05081030102,Low-Income Community
Arkansas,05083950500,Low-Income Community
Arkansas,05089960202,Low-Income Community
Arkansas,05091020500,Low-Income Community
Arkansas,05093010700,Non-LIC Contiguous
Arkansas,05093010800,Low-Income Community
Arkansas,05093011100,Low-Income Community
Arkansas,05099090200,Low-Income Community
Arkansas,05103950200,Low-Income Community
Arkansas,05103950600,Low-Income Community
Arkansas,05107480400,Low-Income Community
Arkansas,05107480600,Low-Income Community
Arkansas,05113950400,Low-Income Community
Arkansas,05115951300,Low-Income Community
Arkansas,05115951600,Low-Income Community
Arkansas,05119000200,Low-Income Community
Arkansas,05119001800,Low-Income Community
Arkansas,05119002500,Low-Income Community
Arkansas,05119002800,Low-Income Community
Arkansas,05119003001,Low-Income Community
Arkansas,05119003605,Low-Income Community
Arkansas,05119004600,Low-Income Community
Arkansas,05119004700,Low-Income Community
Arkansas,05123960400,Low-Income Community
Arkansas,05123960600,Low-Income Community
Arkansas,05131000200,Low-Income Community
Arkansas,05131000300,Low-Income Community
Arkansas,05131000800,Low-Income Community
Arkansas,05133080300,Low-Income Community
Arkansas,05139950900,Low-Income Community
Arkansas,05139951000,Low-Income Community
Arkansas,05141460200,Low-Income Community
Arkansas,05143010200,Low-Income Community
Arkansas,05143010301,Low-Income Community
Arkansas,05143010302,Low-Income Community
Arkansas,05143010600,Low-Income Community
Arkansas,05143011101,Low-Income Community
Arkansas,05143011200,Low-Income Community
Arkansas,05145070800,Low-Income Community
California,06001401000,Low-Income Community
California,06001401400,Low-Income Community
California,06001401500,Low-Income Community
California,06001401600,Low-Income Community
California,06001401700,Low-Income Community
California,06001402200,Low-Income Community
California,06001402400,Low-Income Community
California,06001402500,Low-Income Community
California,06001402600,Low-Income Community
California,06001402700,Low-Income Community
California,06001402800,Low-Income Community
California,06001403300,Low-Income Community
California,06001405901,Low-Income Community
California,06001405902,Low-Income Community
California,06001406000,Low-Income Community
California,06001406100,Low-Income Community
California,06001406201,Low-Income Community
California,06001406202,Low-Income Community
California,06001407200,Low-Income Community
California,06001407300,Low-Income Community
California,06001408400,Low-Income Community
California,06001408500,Low-Income Community
California,06001408600,Low-Income Community
California,06001408700,Low-Income Community
California,06001408800,Low-Income Community
California,06001408900,Low-Income Community
California,06001409000,Low-Income Community
California,06001409500,Low-Income Community
California,06001409700,Low-Income Community
California,06001410500,Low-Income Community
California,06001422900,Low-Income Community
California,06001423200,Low-Income Community
California,06001423500,Low-Income Community
California,06001423901,Non-LIC Contiguous
California,06001424001,Low-Income Community
California,06001433102,Low-Income Community
California,06001433700,Low-Income Community
California,06001433800,Low-Income Community
California,06001434000,Low-Income Community
California,06001435400,Low-Income Community
California,06001435602,Low-Income Community
California,06001437500,Low-Income Community
California,06001437600,Low-Income Community
California,06001437701,Low-Income Community
California,06001438201,Low-Income Community
California,06001441923,Low-Income Community
California,06001451404,Low-Income Community
California,06003010000,Non-LIC Contiguous
California,06005000102,Low-Income Community
California,06007000502,Low-Income Community
California,06007000604,Low-Income Community
California,06007001000,Low-Income Community
California,06007001100,Low-Income Community
California,06007001200,Low-Income Community
California,06007001300,Low-Income Community
California,06007002800,Low-Income Community
California,06007003001,Low-Income Community
California,06007003002,Low-Income Community
California,06009000400,Low-Income Community
California,06011000300,Low-Income Community
California,06011000500,Low-Income Community
California,06013306002,Low-Income Community
California,06013307201,Low-Income Community
California,06013307202,Low-Income Community
California,06013307205,Low-Income Community
California,06013312000,Low-Income Community
California,06013313101,Low-Income Community
California,06013313206,Low-Income Community
California,06013314103,Low-Income Community
California,06013314104,Low-Income Community
California,06013328000,Low-Income Community
California,06013336101,Low-Income Community
California,06013336202,Low-Income Community
California,06013337200,Low-Income Community
California,06013365002,Low-Income Community
California,06013369001,Low-Income Community
California,06013376000,Low-Income Community
California,06013386000,Low-Income Community
California,06015000101,Low-Income Community
California,06015000102,Low-Income Community
California,06017030302,Low-Income Community
California,06017031600,Low-Income Community
California,06017031900,Low-Income Community
California,06019000100,Low-Income Community
California,06019000200,Low-Income Community
California,06019000300,Low-Income Community
California,06019000400,Low-Income Community
California,06019000501,Low-Income Community
California,06019000502,Low-Income Community
California,06019000600,Low-Income Community
California,06019000700,Low-Income Community
California,06019000800,Low-Income Community
California,06019000901,Low-Income Community
California,06019000902,Low-Income Community
California,06019001000,Low-Income Community
California,06019001100,Low-Income Community
California,06019001201,Low-Income Community
California,06019001202,Low-Income Community
California,06019001301,Low-Income Community
California,06019001303,Low-Income Community
California,06019001407,Low-Income Community
California,06019001410,Low-Income Community
California,06019001411,Low-Income Community
California,06019001500,Low-Income Community
California,06019001700,Low-Income Community
California,06019001800,Low-Income Community
California,06019001900,Low-Income Community
California,06019002000,Low-Income Community
California,06019002300,Low-Income Community
California,06019002400,Low-Income Community
California,06019002501,Low-Income Community
California,06019002602,Low-Income Community
California,06019002702,Low-Income Community
California,06019002800,Low-Income Community
California,06019002903,Low-Income Community
California,06019003500,Low-Income Community
California,06019004505,Low-Income Community
California,06019004901,Low-Income Community
California,06019005000,Low-Income Community
California,06019005100,Low-Income Community
California,06019005403,Low-Income Community
California,06019005408,Low-Income Community
California,06019006201,Low-Income Community
California,06019006202,Low-Income Community
California,06019006501,Low-Income Community
California,06019006602,Low-Income Community
California,06019007802,Low-Income Community
California,06019008200,Low-Income Community
California,06019008302,Low-Income Community
California,06019008501,Low-Income Community
California,06021010100,Low-Income Community
California,06021010200,Low-Income Community
California,06023000100,Low-Income Community
California,06023000300,Low-Income Community
California,06023000500,Low-Income Community
California,06023001300,Low-Income Community
California,06023010102,Low-Income Community
California,06023010501,Low-Income Community
California,06023940000,Low-Income Community
California,06025010400,Low-Income Community
California,06025010900,Low-Income Community
California,06025011300,Low-Income Community
California,06025011400,Low-Income Community
California,06025011900,Low-Income Community
California,06025012100,Low-Income Community
California,06025012200,Low-Income Community
California,06027000400,Low-Income Community
California,06027000800,Low-Income Community
California,06029000200,Low-Income Community
California,06029000300,Low-Income Community
California,06029000400,Low-Income Community
California,06029000600,Low-Income Community
California,06029001202,Low-Income Community
California,06029001400,Low-Income Community
California,06029001600,Low-Income Community
California,06029001902,Low-Income Community
California,06029002000,Low-Income Community
California,06029002100,Low-Income Community
California,06029002200,Low-Income Community
California,06029002301,Low-Income Community
California,06029002302,Low-Income Community
California,06029002400,Low-Income Community
California,06029002500,Low-Income Community
California,06029002600,Low-Income Community
California,06029003103,Low-Income Community
California,06029003121,Low-Income Community
California,06029003303,Low-Income Community
California,06029003500,Low-Income Community
California,06029004101,Low-Income Community
California,06029004401,Low-Income Community
California,06029004402,Low-Income Community
California,06029004701,Low-Income Community
California,06029004800,Low-Income Community
California,06029005003,Low-Income Community
California,06029005300,Low-Income Community
California,06029005507,Low-Income Community
California,06029005600,Low-Income Community
California,06029005802,Low-Income Community
California,06029005900,Low-Income Community
California,06029006100,Low-Income Community
California,06029006303,Low-Income Community
California,06029006304,Low-Income Community
California,06029006401,Low-Income Community
California,06031001100,Low-Income Community
California,06031001300,Low-Income Community
California,06031001402,Low-Income Community
California,06031001601,Low-Income Community
California,06031001701,Low-Income Community
California,06033000702,Low-Income Community
California,06033000801,Low-Income Community
California,06033000802,Low-Income Community
California,06035040303,Low-Income Community
California,06035040304,Low-Income Community
California,06037102105,Low-Income Community
California,06037104201,Low-Income Community
California,06037104203,Low-Income Community
California,06037104310,Low-Income Community
California,06037104320,Low-Income Community
California,06037104404,Low-Income Community
California,06037104701,Low-Income Community
California,06037104703,Low-Income Community
California,06037104704,Low-Income Community
California,06037106520,Low-Income Community
California,06037106604,Low-Income Community
California,06037113233,Low-Income Community
California,06037113234,Low-Income Community
California,06037113421,Low-Income Community
California,06037115103,Low-Income Community
California,06037115201,Low-Income Community
California,06037120010,Low-Income Community
California,06037120020,Low-Income Community
California,06037120030,Low-Income Community
California,06037120103,Low-Income Community
California,06037121101,Low-Income Community
California,06037121801,Low-Income Community
California,06037121900,Low-Income Community
California,06037122120,Low-Income Community
California,06037122121,Low-Income Community
California,06037122122,Low-Income Community
California,06037122200,Non-LIC Contiguous
California,06037122410,Low-Income Community
California,06037123020,Low-Income Community
California,06037123103,Low-Income Community
California,06037123203,Low-Income Community
California,06037123205,Low-Income Community
California,06037123206,Low-Income Community
California,06037123303,Low-Income Community
California,06037123420,Low-Income Community
California,06037123901,Low-Income Community
California,06037124102,Low-Income Community
California,06037124103,Low-Income Community
California,06037124104,Low-Income Community
California,06037124105,Low-Income Community
California,06037124204,Low-Income Community
California,06037125310,Low-Income Community
California,06037125320,Low-Income Community
California,06037127210,Low-Income Community
California,06037127300,Low-Income Community
California,06037127400,Low-Income Community
California,06037127520,Low-Income Community
California,06037127712,Low-Income Community
California,06037127803,Low-Income Community
California,06037127804,Low-Income Community
California,06037127805,Low-Income Community
California,06037127806,Low-Income Community
California,06037127910,Low-Income Community
California,06037128210,Low-Income Community
California,06037128302,Low-Income Community
California,06037128303,Low-Income Community
California,06037132300,Low-Income Community
California,06037134305,Low-Income Community
California,06037134520,Low-Income Community
California,06037134521,Low-Income Community
California,06037134522,Low-Income Community
California,06037134903,Low-Income Community
California,06037135114,Low-Income Community
California,06037185203,Low-Income Community
California,06037185320,Low-Income Community
California,06037186401,Low-Income Community
California,06037186404,Low-Income Community
California,06037187102,Low-Income Community
California,06037187200,Low-Income Community
California,06037190100,Low-Income Community
California,06037190201,Low-Income Community
California,06037190202,Low-Income Community
California,06037190510,Low-Income Community
California,06037190700,Low-Income Community
California,06037190801,Low-Income Community
California,06037190802,Low-Income Community
California,06037190901,Low-Income Community
California,06037190902,Low-Income Community
California,06037191000,Low-Income Community
California,06037191110,Low-Income Community
California,06037191120,Low-Income Community
California,06037191201,Low-Income Community
California,06037191203,Low-Income Community
California,06037191204,Low-Income Community
California,06037191410,Low-Income Community
California,06037191420,Low-Income Community
California,06037191500,Low-Income Community
California,06037191710,Low-Income Community
California,06037191720,Low-Income Community
California,06037191810,Low-Income Community
California,06037191820,Low-Income Community
California,06037192610,Low-Income Community
California,06037192620,Low-Income Community
California,06037192700,Low-Income Community
California,06037199000,Low-Income Community
California,06037199120,Low-Income Community
California,06037199201,Low-Income Community
California,06037199202,Low-Income Community
California,06037199700,Low-Income Community
California,06037199800,Low-Income Community
California,06037199900,Low-Income Community
California,06037201402,Low-Income Community
California,06037201700,Low-Income Community
California,06037203300,Low-Income Community
California,06037203500,Low-Income Community
California,06037204920,Low-Income Community
California,06037205120,Low-Income Community
California,06037206020,Low-Income Community
California,06037206031,Non-LIC Contiguous
California,06037206032,Low-Income Community
California,06037206200,Low-Income Community
California,06037206300,Low-Income Community
California,06037208801,Low-Income Community
California,06037208902,Low-Income Community
California,06037208903,Low-Income Community
California,06037209401,Low-Income Community
California,06037211120,Low-Income Community
California,06037211122,Low-Income Community
California,06037211201,Low-Income Community
California,06037211202,Low-Income Community
California,06037211310,Low-Income Community
California,06037211320,Low-Income Community
California,06037211802,Low-Income Community
California,06037212101,Low-Income Community
California,06037212102,Low-Income Community
California,06037212203,Low-Income Community
California,06037212204,Low-Income Community
California,06037212303,Low-Income Community
California,06037212304,Low-Income Community
California,06037212410,Low-Income Community
California,06037213201,Low-Income Community
California,06037213310,Low-Income Community
California,06037213320,Low-Income Community
California,06037213402,Low-Income Community
California,06037218300,Low-Income Community
California,06037218400,Low-Income Community
California,06037218500,Low-Income Community
California,06037218702,Low-Income Community
California,06037219300,Low-Income Community
California,06037219800,Low-Income Community
California,06037219901,Low-Income Community
California,06037219902,Low-Income Community
California,06037220000,Low-Income Community
California,06037220100,Low-Income Community
California,06037222700,Low-Income Community
California,06037224010,Low-Income Community
California,06037224020,Low-Income Community
California,06037224200,Low-Income Community
California,06037224600,Low-Income Community
California,06037224700,Low-Income Community
California,06037226001,Low-Income Community
California,06037226002,Low-Income Community
California,06037226410,Low-Income Community
California,06037226420,Low-Income Community
California,06037227010,Low-Income Community
California,06037228600,Low-Income Community
California,06037231100,Low-Income Community
California,06037231210,Low-Income Community
California,06037231220,Low-Income Community
California,06037231300,Low-Income Community
California,06037231400,Low-Income Community
California,06037231500,Low-Income Community
California,06037231600,Low-Income Community
California,06037231800,Low-Income Community
California,06037232400,Low-Income Community
California,06037232500,Low-Income Community
California,06037234501,Low-Income Community
California,06037234502,Low-Income Community
California,06037234600,Low-Income Community
California,06037236100,Low-Income Community
California,06037237202,Low-Income Community
California,06037239202,Low-Income Community
California,06037239330,Low-Income Community
California,06037241001,Low-Income Community
California,06037242000,Low-Income Community
California,06037242100,Low-Income Community
California,06037242200,Low-Income Community
California,06037242300,Low-Income Community
California,06037242600,Low-Income Community
California,06037243000,Low-Income Community
California,06037243100,Low-Income Community
California,06037292000,Low-Income Community
California,06037293201,Low-Income Community
California,06037294120,Low-Income Community
